"UniProt_ID","Summary"
"Q1HG43","Dual oxidases DUOX1 and DUOX2 are NADPH oxidases which are involved in hydrogen peroxide production necessary for thyroid hormonogenesis. They form a heterodimer with specific maturation factors DUOXA1 and DUOXA2, respectively, which is essential for the maturation and function of the DUOX enzyme complexes. This gene encodes the DUOX1 activator or maturation factor DUOXA1. Rat studies identified a bidirectional promoter which controls the transcription of the DUOX1 and DUOXA1 genes. This protein is cotransported to the cell surface when coexpressed with DUOX1 and is retained in the endoplasmic reticulum when expressed without DUOX1 protein. The expression of this gene or the DUOX1 gene is not suppressed by thyroglobulin (Tg), a macromolecular precursor in thyroid hormone synthesis, while the expression of the DUOX2 and DUOXA2 are significantly suppressed by the Tg. This protein is also a p53-regulated neurogenic factor involved in p53 dependent neuronal differentiation. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2013]"
"Q8CIY2","Predicted to enable superoxide-generating NAD(P)H oxidase activity. Predicted to be involved in several processes, including hydrogen peroxide biosynthetic process; response to cAMP; and superoxide anion generation. Predicted to act upstream of or within reactive oxygen species metabolic process. Predicted to be located in cell leading edge; cell surface; and endoplasmic reticulum. Predicted to be part of NADPH oxidase complex. Predicted to be active in plasma membrane. Orthologous to human DUOX1 (dual oxidase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"A0A193DUA2","Byssal peroxidase-like protein 2, 	heme binding, metal ion binding, peroxidase activity, response to oxidative stress [Uniprot]"
"Q9VAF5","Enables myosin binding activity. Involved in several processes, including apical protein localization; follicle cell microvillus organization; and positive regulation of clathrin-dependent endocytosis. Located in apical plasma membrane and microvillus. Colocalizes with brush border membrane and endosome. Is expressed in cone cell; follicle cell; and oocyte. Human ortholog(s) of this gene implicated in Usher syndrome type 1D; Usher syndrome type 1F; and autosomal recessive nonsyndromic deafness 23. Orthologous to human PCDH15 (protocadherin related 15). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9WVR6","Predicted to enable several functions, including neutral L-amino acid transmembrane transporter activity; peptide antigen binding activity; and secondary active transmembrane transporter activity. Predicted to be involved in carboxylic acid transport and thyroid hormone transport. Predicted to act upstream of or within L-amino acid transport. Predicted to be located in apical plasma membrane; basolateral plasma membrane; and microvillus membrane. Orthologous to human SLC7A8 (solute carrier family 7 member 8). [provided by Alliance of Genome Resources, Mar 2025]"
"P42674","(Paracentrotus lividus) Could be involved in the differentiation of ectodermal lineages and subsequent patterning of the embryo."
"P22105","This gene is a member of the PDGF/VEGF growth factor family. It encodes a heparin-binding protein, which exists as a disulfide-linked homodimer. This growth factor induces proliferation and migration of vascular endothelial cells, and is essential for both physiological and pathological angiogenesis. Disruption of this gene in mice resulted in abnormal embryonic blood vessel formation. This gene is upregulated in many known tumors and its expression is correlated with tumor stage and progression. Elevated levels of this protein are found in patients with POEMS syndrome, also known as Crow-Fukase syndrome. Allelic variants of this gene have been associated with microvascular complications of diabetes 1 (MVCD1) and atherosclerosis. Alternatively spliced transcript variants encoding different isoforms have been described. There is also evidence for alternative translation initiation from upstream non-AUG (CUG) codons resulting in additional isoforms. A recent study showed that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is antiangiogenic. Expression of some isoforms derived from the AUG start codon is regulated by a small upstream open reading frame, which is located within an internal ribosome entry site. The levels of VEGF are increased during infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), thus promoting inflammation by facilitating recruitment of inflammatory cells, and by increasing the level of angiopoietin II (Ang II), one of two products of the SARS-CoV-2 binding target, angiotensin-converting enzyme 2 (ACE2). In turn, Ang II facilitates the elevation of VEGF, thus forming a vicious cycle in the release of inflammatory cytokines. [provided by RefSeq, Jun 2020]"
"Q61P40","Protein CBR-TBH-1, enables copper ion binding, enables dopamine beta-monooxygenase activity, involved_in dopamine catabolic process, involved_in norepinephrine biosynthetic process, involved_in octopamine biosynthetic process"
"Q3MHG7","urate oxidase, involved_in purine nucleobase catabolic process, involved_in urate catabolic process"
"Q8NBI5","Enables adenine transmembrane transporter activity; guanine transmembrane transporter activity; and xenobiotic transmembrane transporter activity. Involved in hypoxanthine transport. Located in basolateral plasma membrane. [provided by Alliance of Genome Resources, Mar 2025]"
