"transcript" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "species" "geneID" "uniprot_accession" "protein.names" "GO.IDs" "GOterm.BP"
"MT_Pool_HQ_transcript/143975" 31.6646826426127 -1.65818677881289 0.59752443068389 0.000176953594086824 0.037118394768234 "CAEEL" "PXDN2" "G5EG78" "Peroxidasin homolog pxn-2 (EC 1.11.2.-)" "GO:0004601; GO:0005604; GO:0005615; GO:0006979; GO:0007411; GO:0010172; GO:0016203; GO:0020037; GO:0046872; GO:0048681; GO:0071711; GO:0110011; GO:0140825" "axon guidance [GO:0007411]; basement membrane organization [GO:0071711]; embryonic body morphogenesis [GO:0010172]; muscle attachment [GO:0016203]; negative regulation of axon regeneration [GO:0048681]; regulation of basement membrane organization [GO:0110011]; response to oxidative stress [GO:0006979]"
"MT_Pool_HQ_transcript/244303" 15.2351535611183 1.56690624412481 0.398737708238262 3.84129868017856e-06 0.00253402737147769 "CHICK" "MRP1" "Q5F364" "Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)" "GO:0005524; GO:0006869; GO:0008559; GO:0016323; GO:0016887; GO:0034634; GO:0034775; GO:0042908; GO:0070729" "cyclic nucleotide transport [GO:0070729]; glutathione transmembrane transport [GO:0034775]; lipid transport [GO:0006869]; xenobiotic transport [GO:0042908]"
"MT_Pool_HQ_transcript/312932" 15.0274370041565 -0.803534038981385 0.263958209684591 0.000114868124111366 0.0273274068922502 "BOVIN" "PARL" "Q2KHV4" "Presenilin-associated rhomboid-like protein, mitochondrial (EC 3.4.21.105) (Mitochondrial intramembrane cleaving protease PARL) [Cleaved into: P-beta (Pbeta)]" "GO:0004252; GO:0005634; GO:0005743; GO:0006465; GO:0016485" "protein processing [GO:0016485]; signal peptide processing [GO:0006465]"
"MT_Pool_HQ_transcript/321860" 18.1218033858434 -0.65789115792028 0.518368677262222 1.13652627329685e-07 0.000174257856944587 "CHICK" "MBL" "Q98TA4" "Mannose-binding protein (MBP) (Mannan-binding protein)" "GO:0001867; GO:0005537; GO:0005576; GO:0005581; GO:0005615; GO:0005771; GO:0005791; GO:0006958; GO:0043129; GO:0050766" "complement activation, classical pathway [GO:0006958]; complement activation, lectin pathway [GO:0001867]; positive regulation of phagocytosis [GO:0050766]; surfactant homeostasis [GO:0043129]"
"MT_Pool_HQ_transcript/322842" 23.8243755055691 0.67795676221157 0.530057384554494 0.000127983417334862 0.0293729471219823 "MYTED" "HIP" "P83425" "Heavy metal-binding protein HIP" "GO:0005576; GO:0046872" ""
"MT_Pool_HQ_transcript/324192" 10.631885248239 2.22049305216916 0.7099108810065 5.99208390116916e-05 0.0166990818205726 "HUMAN" "GSTO1" "P78417" "Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)" "GO:0004364; GO:0005737; GO:0005829; GO:0006749; GO:0010880; GO:0010881; GO:0014810; GO:0016491; GO:0019852; GO:0042178; GO:0045174; GO:0050610; GO:0060315; GO:0060316; GO:0070062; GO:0071243" "cellular response to arsenic-containing substance [GO:0071243]; glutathione metabolic process [GO:0006749]; L-ascorbic acid metabolic process [GO:0019852]; negative regulation of ryanodine-sensitive calcium-release channel activity [GO:0060315]; positive regulation of ryanodine-sensitive calcium-release channel activity [GO:0060316]; positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion [GO:0014810]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; xenobiotic catabolic process [GO:0042178]"
"MT_Pool_HQ_transcript/328640" 15.3076314689037 -2.17770003322652 0.627590270467815 1.95651903670053e-05 0.00764991422041054 "MYTED" "HIP" "P83425" "Heavy metal-binding protein HIP" "GO:0005576; GO:0046872" ""
"MT_Pool_HQ_transcript/340991" 54.6661560224082 0.904216660028901 0.159590720191944 8.47092720516951e-10 3.30501695836893e-06 "MOUSE" "ATPB" "P56480" "ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)" "GO:0000275; GO:0001525; GO:0005509; GO:0005524; GO:0005739; GO:0005743; GO:0005753; GO:0005886; GO:0006629; GO:0006754; GO:0006898; GO:0006933; GO:0009986; GO:0016020; GO:0016887; GO:0030228; GO:0031966; GO:0042288; GO:0042645; GO:0042776; GO:0043209; GO:0043531; GO:0043532; GO:0043536; GO:0045121; GO:0045259; GO:0045261; GO:0046034; GO:0046933; GO:0046961; GO:0051453; GO:0098761; GO:1902600" "angiogenesis [GO:0001525]; ATP biosynthetic process [GO:0006754]; ATP metabolic process [GO:0046034]; cellular response to interleukin-7 [GO:0098761]; lipid metabolic process [GO:0006629]; negative regulation of cell adhesion involved in substrate-bound cell migration [GO:0006933]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; proton transmembrane transport [GO:1902600]; receptor-mediated endocytosis [GO:0006898]; regulation of intracellular pH [GO:0051453]"
"MT_Pool_HQ_transcript/342436" 213.371717222119 0.889511396520013 0.271671647684111 5.02606760982172e-05 0.0148558374140003 "PONAB" "CBX3" "Q5R6X7" "Chromobox protein homolog 3 (Heterochromatin protein 1 homolog gamma) (HP1 gamma)" "GO:0000779; GO:0000785; GO:0000791; GO:0000792; GO:0005635; GO:0005721; GO:0005819; GO:0006325; GO:0006974; GO:0019904; GO:0045892; GO:0048511; GO:0090734" "chromatin organization [GO:0006325]; DNA damage response [GO:0006974]; negative regulation of DNA-templated transcription [GO:0045892]; rhythmic process [GO:0048511]"
"MT_Pool_HQ_transcript/342470" 11.6016628056721 -1.42850601195119 0.408266133765378 1.9607120720757e-05 0.00764991422041054 "DANRE" "DYLT5" "Q66IC8" "Dynein light chain Tctex-type 5 (Tctex1 domain-containing protein 1)" "GO:0005737; GO:0005868; GO:0007018; GO:0045505; GO:0060271" "cilium assembly [GO:0060271]; microtubule-based movement [GO:0007018]"
