"transcript" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "species" "geneID" "uniprot_accession" "protein.names" "GO.IDs" "GOterm.BP"
"MT_Pool_HQ_transcript/120554" 17.0979195018711 -0.80288366963935 0.541631123754367 5.90142499245423e-07 0.000673680448583053 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/156791" 63.9947386227937 -0.792477804419085 0.202110478274813 4.128055321312e-06 0.00326243387470457 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/165946" 464.048671831978 -0.017640189514808 0.126493599616936 1.74351826070515e-05 0.00913161623871176 "MYTED" "COX3" "P41775" "Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)" "GO:0004129; GO:0005743; GO:0019646" "aerobic electron transport chain [GO:0019646]"
"MT_Pool_HQ_transcript/171189" 19.5038351261753 -1.10030783616825 0.684354354033435 3.01878779353316e-06 0.00281954779915997 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/232369" 60.0962014478614 -1.20701999574763 0.24692786903785 4.76789710802629e-08 9.79707497757243e-05 "DROME" "HMG2" "Q24537" "High mobility group protein DSP1 (Protein dorsal switch 1)" "GO:0000122; GO:0003677; GO:0003697; GO:0005634; GO:0005654; GO:0005700; GO:0006268; GO:0006338; GO:0006357; GO:0007379; GO:0008301; GO:0008348; GO:0017025; GO:0017055; GO:0032502; GO:0035218; GO:0043388; GO:0045892; GO:0140297" "chromatin remodeling [GO:0006338]; developmental process [GO:0032502]; DNA unwinding involved in DNA replication [GO:0006268]; leg disc development [GO:0035218]; negative regulation of antimicrobial humoral response [GO:0008348]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA binding [GO:0043388]; regulation of transcription by RNA polymerase II [GO:0006357]; segment specification [GO:0007379]"
"MT_Pool_HQ_transcript/266358" 17.7412705429959 -1.29839426770242 0.41311604678788 4.21538063335167e-05 0.0160403039359463 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/272399" 74.2717090918072 -0.0661290437890836 0.152263502595486 0.000110843117267423 0.0367355544130808 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/297451" 57.3802024604138 -0.0207223398676443 0.125968504352382 0.00014512196418577 0.0465932206263938 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/308150" 73.3833851664048 -0.0975551528563116 0.194064755226567 9.75107467137973e-09 5.00912705868777e-05 "CAEEL" "EF1A" "P53013" "Elongation factor 1-alpha (EF-1-alpha)" "GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414; GO:0008135" "translation [GO:0006412]; translational elongation [GO:0006414]"
"MT_Pool_HQ_transcript/309941" 28.087239332055 -0.0410272122662034 0.135059637155638 1.51464597032702e-05 0.00913161623871176 "RAT" "NETR" "G3V801" "Neurotrypsin (EC 3.4.21.-) (Serine protease 12)" "GO:0004252; GO:0005044; GO:0005886; GO:0006508; GO:0006887; GO:0008233; GO:0030424; GO:0030425; GO:0031410; GO:0031638; GO:0043083; GO:0043195; GO:0045202" "exocytosis [GO:0006887]; proteolysis [GO:0006508]; zymogen activation [GO:0031638]"
"MT_Pool_HQ_transcript/325305" 25.0832501789628 2.75515886497709 0.169534229153855 9.02105338619683e-06 0.00662016446355616 "BOVIN" "KLKB1" "Q2KJ63" "Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]" "GO:0004252; GO:0005615; GO:0006954; GO:0007596; GO:0031639; GO:0042730; GO:0042803; GO:0051919" "blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; inflammatory response [GO:0006954]; plasminogen activation [GO:0031639]; positive regulation of fibrinolysis [GO:0051919]"
"MT_Pool_HQ_transcript/341411" 19.8129881101613 -5.32213106399524 0.79948505298054 3.30186520396677e-05 0.0135752427030603 "CHICK" "IF5A2" "Q07460" "Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2) (eIF-4D)" "GO:0003723; GO:0003746; GO:0005643; GO:0005789; GO:0006414; GO:0015031; GO:0043022; GO:0045901; GO:0045905; GO:0051028" "mRNA transport [GO:0051028]; positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; protein transport [GO:0015031]; translational elongation [GO:0006414]"
"MT_Pool_HQ_transcript/358954" 31.3715309314994 -0.0680384222573235 0.154358368835839 1.77761655415841e-05 0.00913161623871176 "MIMIV" "COLL2" "Q5UQ13" "Collagen-like protein 2" "GO:0044423" ""
"MT_Pool_HQ_transcript/371555" 69.2571699649889 3.9882668876976 1.12457345808789 1.9642537490602e-05 0.00960987762754502 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/37695" 89.5575448371688 -0.13756889348664 0.320421461473488 2.3481334550121e-06 0.00241247231167943 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/383771" 216.483571814565 -1.360916481014 0.384024250937769 1.48599901621037e-05 0.00913161623871176 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/384135" 6456.74623744859 0.86601524466343 0.243447943836119 3.47289829518809e-07 0.00044600696355953 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/385256" 167.304307663188 0.186766664870938 0.260683188582781 0.000102992667310709 0.0352715554650075 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/387547" 113.103234700777 -0.0355745197590396 0.132456241835074 3.16867543059468e-05 0.0135752427030603 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/388939" 14.8654287088027 -2.65877362084693 0.735942448288499 1.64325239406207e-05 0.00913161623871176 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/389170" 63.0765610484154 1.67457870661276 0.336870351225703 2.95325294965621e-08 9.14278365579439e-05 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/392002" 42.8611654334487 -0.0229078933941072 0.127955598358155 8.11820621879128e-05 0.0287608450661592 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/392828" 102.072513444801 2.9051943162423 0.914432952369113 4.43346343810996e-05 0.0162676440582649 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/394938" 239.12663310892 0.240711444742784 0.238874069668272 4.03758276052577e-05 0.0159546635698622 "HUMAN" "HNRPR" "O43390" "Heterogeneous nuclear ribonucleoprotein R (hnRNP R)" "GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0005783; GO:0006397; GO:0071013; GO:1990904" "mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]"
"MT_Pool_HQ_transcript/395053" 116.570089044929 -0.095052625396816 0.188415071940183 3.88398650699313e-06 0.00326243387470457 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/397908" 194.102378899642 2.5013924958892 1.00485954108896 5.53201212426077e-10 5.68358925646551e-06 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/399129" 26.8992848673312 -0.0236385954516375 0.128206573259386 3.5595809444401e-08 9.14278365579439e-05 "ORYLA" "EF1A" "Q9YIC0" "Elongation factor 1-alpha (EF-1-alpha) (EC 3.6.5.-)" "GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414" "translation [GO:0006412]; translational elongation [GO:0006414]"
"MT_Pool_HQ_transcript/399692" 19.973806869594 -0.0264923894173196 0.129077231295476 1.04953009865328e-07 0.000154041031908055 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/400131" 14.2771861180931 -1.12751374902008 0.522883095699342 2.6264056839655e-05 0.0122653145441189 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/402015" 841.070530173083 0.0217826930466646 0.127106489073665 7.29826600542383e-08 0.000124970641566207 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/405929" 88.7561693041314 -0.0199431901398661 0.12689868637071 1.73828289738077e-05 0.00913161623871176 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/60955" 216.787447061205 -3.44505107596643 0.917854891601043 3.303300248944e-05 0.0135752427030603 NA NA NA NA NA NA
