"transcript" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "species" "geneID" "uniprot_accession" "protein.names" "GO.IDs" "GOterm.BP"
"MT_Pool_HQ_transcript/129415" 19.0394272532777 -1.75607307181818 0.37732320962983 1.4398976932288e-07 0.000200639458567911 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/143975" 31.6646826426127 -1.65818677881289 0.59752443068389 0.000176953594086824 0.037118394768234 "CAEEL" "PXDN2" "G5EG78" "Peroxidasin homolog pxn-2 (EC 1.11.2.-)" "GO:0004601; GO:0005604; GO:0005615; GO:0006979; GO:0007411; GO:0010172; GO:0016203; GO:0020037; GO:0046872; GO:0048681; GO:0071711; GO:0110011; GO:0140825" "axon guidance [GO:0007411]; basement membrane organization [GO:0071711]; embryonic body morphogenesis [GO:0010172]; muscle attachment [GO:0016203]; negative regulation of axon regeneration [GO:0048681]; regulation of basement membrane organization [GO:0110011]; response to oxidative stress [GO:0006979]"
"MT_Pool_HQ_transcript/154" 33.0095596127636 -0.778331184405314 0.253323200092155 0.00010635722265405 0.0266002140966053 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/158658" 41.7248615400608 -1.93851243595204 0.506339998812509 5.00111797284164e-06 0.00295641846709681 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/198103" 126.478473184384 -0.763831934152198 0.216821824059183 2.32759511994056e-05 0.00856730671694347 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/200920" 16.9225824412052 -1.9446673804056 0.514138726318606 6.03460951101455e-06 0.00336351892402491 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/203008" 13.2750444406546 -1.87437214135645 0.514659084821422 1.02547868391963e-05 0.00487927760144005 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/244303" 15.2351535611183 1.56690624412481 0.398737708238262 3.84129868017856e-06 0.00253402737147769 "CHICK" "MRP1" "Q5F364" "Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter)" "GO:0005524; GO:0006869; GO:0008559; GO:0016323; GO:0016887; GO:0034634; GO:0034775; GO:0042908; GO:0070729" "cyclic nucleotide transport [GO:0070729]; glutathione transmembrane transport [GO:0034775]; lipid transport [GO:0006869]; xenobiotic transport [GO:0042908]"
"MT_Pool_HQ_transcript/244829" 11.8918526023894 -0.063271267676123 0.178175870481828 4.81498205509049e-05 0.0148558374140003 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/265256" 14.1973025196268 6.06345074298834 1.19736533733973 4.4510079952915e-09 1.08537829965183e-05 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/27484" 28.2177561543611 1.21823953404188 0.335004447778543 1.19140598503827e-05 0.00540510417584341 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/286391" 248.277614780087 -0.619271982113092 0.185566907656956 5.42533321696527e-05 0.0155744702411491 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/299499" 124.233829436735 -0.782752392872216 0.23892035181476 5.42887008610898e-05 0.0155744702411491 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/304178" 23.8773941033878 -1.11689839349137 0.343340657467905 4.82308009764583e-05 0.0148558374140003 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/312932" 15.0274370041565 -0.803534038981385 0.263958209684591 0.000114868124111366 0.0273274068922502 "BOVIN" "PARL" "Q2KHV4" "Presenilin-associated rhomboid-like protein, mitochondrial (EC 3.4.21.105) (Mitochondrial intramembrane cleaving protease PARL) [Cleaved into: P-beta (Pbeta)]" "GO:0004252; GO:0005634; GO:0005743; GO:0006465; GO:0016485" "protein processing [GO:0016485]; signal peptide processing [GO:0006465]"
"MT_Pool_HQ_transcript/318882" 14.9973193387188 -1.18735975046052 0.330436846990228 1.40363557699648e-05 0.00608491618578829 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/321860" 18.1218033858434 -0.65789115792028 0.518368677262222 1.13652627329685e-07 0.000174257856944587 "CHICK" "MBL" "Q98TA4" "Mannose-binding protein (MBP) (Mannan-binding protein)" "GO:0001867; GO:0005537; GO:0005576; GO:0005581; GO:0005615; GO:0005771; GO:0005791; GO:0006958; GO:0043129; GO:0050766" "complement activation, classical pathway [GO:0006958]; complement activation, lectin pathway [GO:0001867]; positive regulation of phagocytosis [GO:0050766]; surfactant homeostasis [GO:0043129]"
"MT_Pool_HQ_transcript/322842" 23.8243755055691 0.67795676221157 0.530057384554494 0.000127983417334862 0.0293729471219823 "MYTED" "HIP" "P83425" "Heavy metal-binding protein HIP" "GO:0005576; GO:0046872" ""
