"transcript" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "species" "geneID" "uniprot_accession" "protein.names" "GO.IDs" "GOterm.BP"
"MT_Pool_HQ_transcript/137070" 20.0837155517046 5.14173819945766 1.5666532317963 3.08978210703405e-05 0.0288826633462089 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/143975" 30.6156159812086 -0.0082159971521188 0.0350555257070833 6.57348406783795e-05 0.0371050502207332 "CAEEL" "PXDN2" "G5EG78" "Peroxidasin homolog pxn-2 (EC 1.11.2.-)" "GO:0004601; GO:0005604; GO:0005615; GO:0006979; GO:0007411; GO:0010172; GO:0016203; GO:0020037; GO:0046872; GO:0048681; GO:0071711; GO:0110011; GO:0140825" "axon guidance [GO:0007411]; basement membrane organization [GO:0071711]; embryonic body morphogenesis [GO:0010172]; muscle attachment [GO:0016203]; negative regulation of axon regeneration [GO:0048681]; regulation of basement membrane organization [GO:0110011]; response to oxidative stress [GO:0006979]"
"MT_Pool_HQ_transcript/158658" 38.4376708224193 -0.0105216980347673 0.036076887828104 4.17737582481902e-08 0.000205115574974329 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/159248" 14.8548551630212 0.32187998553265 0.480444246865908 2.65135245511347e-06 0.00505540603577727 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/17551" 56.460841227842 0.11940728186006 0.482135435937309 9.51197574259632e-05 0.0453418589148216 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/200920" 16.7241905771515 -0.00788108605493306 0.0349384093581747 3.87947887195871e-05 0.0301363666149859 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/21502" 19.4923129660262 0.47174191413244 0.421389564002086 7.23034985806538e-07 0.00189561697403829 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/227208" 97.3043663684962 -0.00454722531846923 0.0340373193961284 2.64131066157314e-06 0.00505540603577727 "PIG" "RL3" "Q29293" "Large ribosomal subunit protein uL3 (60S ribosomal protein L3)" "GO:0003735; GO:0005730; GO:0006412; GO:0022625; GO:0071353" "cellular response to interleukin-4 [GO:0071353]; translation [GO:0006412]"
"MT_Pool_HQ_transcript/244317" 148.814482248287 -7.23600380805705 0.0336708035057273 8.28484330744115e-07 0.0019307367058919 "MYTED" "NU2M" "Q00229" "NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)" "GO:0005743; GO:0008137; GO:0070469" ""
"MT_Pool_HQ_transcript/261823" 27.7976694264987 -0.00960133919757019 0.0354493616967234 4.21862594483828e-08 0.000205115574974329 "HUMAN" "CO6A6" "A6NMZ7" "Collagen alpha-6(VI) chain" "GO:0005576; GO:0005581; GO:0007155; GO:0031012; GO:0062023" "cell adhesion [GO:0007155]"
"MT_Pool_HQ_transcript/283230" 37.2007903355199 2.26702976028281 0.693370146400589 3.51726842684485e-05 0.0288826633462089 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/307513" 189.81604051163 0.000976069721980377 0.033597701091596 9.47235629435748e-05 0.0453418589148216 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/319918" 25.4629212303815 -0.00157263711701849 0.0336324716218265 7.66833683165258e-05 0.0392282187090442 "RAT" "DCTD" "Q5M9G0" "Deoxycytidylate deaminase (EC 3.5.4.12) (dCMP deaminase)" "GO:0004132; GO:0005737; GO:0006220; GO:0008270; GO:0009165; GO:0042802" "nucleotide biosynthetic process [GO:0009165]; pyrimidine nucleotide metabolic process [GO:0006220]"
"MT_Pool_HQ_transcript/337711" 16.5619117573693 -2.10933926733257 0.45571536924618 1.59674637446843e-07 0.000478430835115727 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/345933" 260.03997427791 1.58207666152337 0.0365979682597702 3.41124034881704e-05 0.0288826633462089 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/348877" 13.8249842592676 0.7736979561799 0.479321712485779 6.05236822542985e-05 0.0371050502207332 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/353820" 54.6879041472247 -0.00571650144317446 0.0342905637583398 0.000103962175613819 0.0481146286138385 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/356191" 24.4225339392896 2.7901036139612 0.0342294566472328 3.30579435751095e-05 0.0288826633462089 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/359132" 92.1768736088319 -3.59646083152401 1.09768923888909 5.48801278172591e-05 0.0352563736113273 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/359350" 27.9134271104506 -0.00271148575709274 0.0337452503789149 1.50126615349847e-07 0.000478430835115727 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/360932" 9.63526650920754 -0.0036814913661595 0.0338824518033483 4.88975815233929e-08 0.000205115574974329 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/364509" 9.8082599001052 -0.00899582723342793 0.0353434173490878 0.000111059827317774 0.0481146286138385 "EUGGR" "CALM" "P11118" "Calmodulin (CaM)" "GO:0005509" ""
"MT_Pool_HQ_transcript/369924" 33.1342080462778 -2.48141169940277 0.318560382567413 1.68811827318835e-05 0.0221291204136578 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/371555" 231.548087686027 4.59338564440637 1.54466824334729 6.23388907182407e-05 0.0371050502207332 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/373967" 12.1121992945918 -0.00584924518173174 0.0343251150266223 6.45490121020529e-05 0.0371050502207332 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/376165" 32.7690302874104 -2.65645127719025 1.18547718376979 2.28085007090727e-05 0.0265769718817828 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/377205" 33.1132410772446 -0.00216099206943305 0.0336841327848556 7.63804990440514e-05 0.0392282187090442 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/377207" 13.1860240347773 -0.00185526662704116 0.0336565479732624 5.17100742928183e-05 0.0352563736113273 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/380579" 35.2989051336626 -3.25876842136406 0.840734393659758 0.000112406636887484 0.0481146286138385 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/381220" 20.6245207461935 3.26812751444504 0.897177927168405 8.33702134954532e-06 0.0124900489846688 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/387535" 12.7818040865004 1.47446852867973 0.465783814203146 5.16178364639998e-05 0.0352563736113273 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/387853" 47.9399211416549 -1.08076092275678 0.330348593787435 3.58038164871475e-05 0.0288826633462089 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/392260" 107.123183827133 -0.00609134996639355 0.0343908483896578 4.27326578597437e-05 0.0320098130696523 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/393433" 52.9456362827857 1.43785006147055 0.456361117516069 5.4642943398106e-05 0.0352563736113273 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/394594" 14.9320374251408 2.42425992887427 0.688021665514915 1.18565123186193e-05 0.0165785659580481 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/396619" 218.886887904828 -2.56896012339591 0.719375056600471 5.34698880644591e-09 5.60738716131983e-05 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/397908" 44.9446652586548 -4.82172632897037e-05 0.0335464603319452 2.10317225318224e-05 0.0259481969636731 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/398323" 24.9030073229125 -1.62375488063563 0.432097679562306 6.32786553214453e-06 0.0102092808977846 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/399875" 24.5736102705181 5.9702283166316 1.27603991133699 0.000106225601022975 0.0481146286138385 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/400304" 27.4890726296361 -0.34044856011266 0.760144968734997 0.000111201334315123 0.0481146286138385 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/401272" 17.3260906707769 -1.38384390359573 0.90855931275861 5.71528038922564e-10 1.19872290883619e-05 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/406314" 123.813506225197 -2.63761136172075 1.11951521105179 5.54715518820349e-05 0.0352563736113273 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/406856" 70.2155654307809 -0.0101190494809866 0.0358301441946092 7.42549314333121e-05 0.0392282187090442 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/408810" 153.047325631116 -2.1421206859699 1.16207057317992 3.16023842531448e-05 0.0288826633462089 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/410094" 24.1255197379473 2.56256854864158 0.0343396591685683 2.87342561985602e-05 0.0288826633462089 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/411143" 28.8244887957024 1.41318249367322 0.483421082130525 0.000117069385873377 0.0491082659861644 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/411444" 11.1269550771714 1.49645591585179 0.490584913362421 8.18315214009671e-05 0.0408651030919972 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/50139" 39.5555705323821 0.03068669553787 0.364408139632169 6.7225703651562e-05 0.0371050502207332 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/599" 18.2600077305413 -0.21062779433761 0.520470147453902 4.2282490113058e-06 0.00739027456359399 NA NA NA NA NA NA
"MT_Pool_HQ_transcript/70332" 35.8730900980734 -0.20522946512831 0.752639549147275 2.73066407662705e-05 0.0288826633462089 "DROME" "DUOX" "Q9VQH2" "Dual oxidase (EC 1.11.1.-) (EC 1.6.3.1)" "GO:0002385; GO:0004601; GO:0005509; GO:0005886; GO:0006952; GO:0006979; GO:0007476; GO:0008365; GO:0009611; GO:0012505; GO:0016175; GO:0019221; GO:0020037; GO:0035220; GO:0042335; GO:0042554; GO:0042742; GO:0042744; GO:0043020; GO:0043066; GO:0048085; GO:0051591; GO:0072593; GO:0106292; GO:0106293; GO:0106294" "adult chitin-based cuticle development [GO:0008365]; adult chitin-containing cuticle pigmentation [GO:0048085]; cuticle development [GO:0042335]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; hydrogen peroxide catabolic process [GO:0042744]; imaginal disc-derived wing morphogenesis [GO:0007476]; mucosal immune response [GO:0002385]; negative regulation of apoptotic process [GO:0043066]; reactive oxygen species metabolic process [GO:0072593]; response to cAMP [GO:0051591]; response to oxidative stress [GO:0006979]; response to wounding [GO:0009611]; superoxide anion generation [GO:0042554]; wing disc development [GO:0035220]"
