"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","LOC_ID","transcript","database","uniprot_accession","geneID","species","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","reviewed","entryname","protein_name","gene_name","organism","prot_length","GO_ID","GO_BP","GO_MF","GO_CC","Genename_orderedlocus","Induction","Pathwaycommons","Reactome","Unipathway","Interacts_with"
"gene-LOC134715973|LOC134715973",23.630417011789,2.1724212207804,0.563050806928113,4.26795071191669e-06,0.000775700041890858,"LOC134715973","lcl|NC_086376.1_cds_XP_063434658.1_19597","sp","Q9WVR6","LAT2","RAT",36.952,479,297,3,172,1596,17,494,2.82e-98,310,"reviewed","LAT2_RAT","Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (Solute carrier family 7 member 8)","Slc7a8 Lat2 Lat4","Rattus norvegicus (Rat)",533,"GO:0003333; GO:0005886; GO:0006865; GO:0009925; GO:0015101; GO:0015171; GO:0015175; GO:0015179; GO:0015180; GO:0015187; GO:0015190; GO:0015297; GO:0015349; GO:0015804; GO:0015807; GO:0015816; GO:0015820; GO:0015827; GO:0015829; GO:0016323; GO:0016324; GO:0019534; GO:0031528; GO:0035524; GO:0042605; GO:0046982; GO:0070327; GO:0089718; GO:1903801; GO:1904273","amino acid import across plasma membrane [GO:0089718]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; glycine transport [GO:0015816]; L-alanine import across plasma membrane [GO:1904273]; L-amino acid transport [GO:0015807]; L-leucine import across plasma membrane [GO:1903801]; L-leucine transport [GO:0015820]; neutral amino acid transport [GO:0015804]; proline transmembrane transport [GO:0035524]; thyroid hormone transport [GO:0070327]; tryptophan transport [GO:0015827]; valine transport [GO:0015829]","amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; glycine transmembrane transporter activity [GO:0015187]; L-alanine transmembrane transporter activity [GO:0015180]; L-amino acid transmembrane transporter activity [GO:0015179]; L-leucine transmembrane transporter activity [GO:0015190]; neutral L-amino acid transmembrane transporter activity [GO:0015175]; organic cation transmembrane transporter activity [GO:0015101]; peptide antigen binding [GO:0042605]; protein heterodimerization activity [GO:0046982]; thyroid hormone transmembrane transporter activity [GO:0015349]; toxin transmembrane transporter activity [GO:0019534]","apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886]",NA,NA,NA,"R-RNO-210991;R-RNO-352230;",NA,NA
"gene-LOC134725929|LOC134725929",109.437315748907,2.13713571378717,0.311400687197252,3.08891596552637e-13,3.37188434961164e-10,"LOC134725929","lcl|NC_086379.1_cds_XP_063446294.1_30613","sp","Q9VAF5","CAD99","DROME",30.744,309,169,13,253,1128,93,373,9.15e-29,124,"reviewed","CAD99_DROME","Cadherin-99C","Cad99C CG31009","Drosophila melanogaster (Fruit fly)",1706,"GO:0002385; GO:0005509; GO:0005886; GO:0005902; GO:0007156; GO:0007304; GO:0007305; GO:0007605; GO:0010008; GO:0016324; GO:0016339; GO:0017022; GO:0019722; GO:0031528; GO:0032529; GO:0032533; GO:0035239; GO:0044331; GO:0045176; GO:0098609; GO:2000370","apical protein localization [GO:0045176]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; calcium-mediated signaling [GO:0019722]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; chorion-containing eggshell formation [GO:0007304]; follicle cell microvillus organization [GO:0032529]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; mucosal immune response [GO:0002385]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of follicle cell microvillus length [GO:0032533]; sensory perception of sound [GO:0007605]; tube morphogenesis [GO:0035239]; vitelline membrane formation involved in chorion-containing eggshell formation [GO:0007305]","calcium ion binding [GO:0005509]; myosin binding [GO:0017022]","apical plasma membrane [GO:0016324]; endosome membrane [GO:0010008]; microvillus [GO:0005902]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886]",NA,"INDUCTION: Up-regulated in the adult anterior midgut after the ingestion of bacterial uracil. Strong up-regulation detected 1 hour, 2 hours and 16 hours after ingestion, whereas no up-regulation was detected at 4 hours. {ECO:0000269|PubMed:25639794}.",NA,NA,NA,"Q9V3Z6"
"gene-LOC134715335|LOC134715335",122.716265771654,1.52681025963033,0.300236372513917,1.64849729203357e-08,8.29701367828898e-06,"LOC134715335","lcl|NC_086376.1_cds_XP_063433514.1_18229","sp","G5EBQ8","CHS2","CAEEL",34.188,936,520,17,3526,6138,497,1401,1.54e-148,509,"reviewed","CHS2_CAEEL","Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2)","chs-2 F48A11.1","Caenorhabditis elegans",1668,"GO:0004100; GO:0005886; GO:0006031; GO:0006038; GO:0030428; GO:0061063; GO:0071944","cell wall chitin biosynthetic process [GO:0006038]; chitin biosynthetic process [GO:0006031]; positive regulation of nematode larval development [GO:0061063]","chitin synthase activity [GO:0004100]","cell periphery [GO:0071944]; cell septum [GO:0030428]; plasma membrane [GO:0005886]",NA,NA,NA,NA,NA,NA
"gene-LOC134685599|LOC134685599",88.4714350489604,1.20341426381896,0.562195436806181,0.000855528832594666,0.0380797629365095,"LOC134685599","lcl|NC_086381.1_cds_XP_063401567.1_35534","sp","A4IGY6","S39AE","XENTR",34.753,446,219,11,55,1254,27,446,7.74e-68,226,"reviewed","S39AE_XENTR","Metal cation symporter ZIP14 (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)","slc39a14","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",462,"GO:0005381; GO:0005384; GO:0005385; GO:0005765; GO:0005886; GO:0006882; GO:0015086; GO:0015296; GO:0016323; GO:0016324; GO:0031901; GO:0031902; GO:0032869; GO:0033212; GO:0034755; GO:0045745; GO:0051344; GO:0055071; GO:0071333; GO:0071421; GO:0071577; GO:0071578; GO:0098662; GO:0098739","cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; import across plasma membrane [GO:0098739]; inorganic cation transmembrane transport [GO:0098662]; intracellular zinc ion homeostasis [GO:0006882]; iron import into cell [GO:0033212]; iron ion transmembrane transport [GO:0034755]; manganese ion homeostasis [GO:0055071]; manganese ion transmembrane transport [GO:0071421]; negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; zinc ion import across plasma membrane [GO:0071578]; zinc ion transmembrane transport [GO:0071577]","cadmium ion transmembrane transporter activity [GO:0015086]; iron ion transmembrane transporter activity [GO:0005381]; manganese ion transmembrane transporter activity [GO:0005384]; monoatomic anion:monoatomic cation symporter activity [GO:0015296]; zinc ion transmembrane transporter activity [GO:0005385]","apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; early endosome membrane [GO:0031901]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]",NA,NA,NA,"R-XTR-442380;",NA,NA
"gene-LOC134721144|LOC134721144",37.6287770734151,1.17099308076459,0.493603323328704,0.000507758827138162,0.0274954756983958,"LOC134721144","lcl|NC_086378.1_cds_XP_063440012.1_24403","sp","P48416","CP10","LYMST",29.98,497,315,13,226,1680,69,544,2.66e-58,206,"reviewed","CP10_LYMST","Cytochrome P450 10 (EC 1.14.-.-) (CYPX)","CYP10","Lymnaea stagnalis (Great pond snail) (Helix stagnalis)",545,"GO:0004497; GO:0005506; GO:0005743; GO:0006700; GO:0006704; GO:0008203; GO:0016705; GO:0020037; GO:0034650; GO:0071375","C21-steroid hormone biosynthetic process [GO:0006700]; cellular response to peptide hormone stimulus [GO:0071375]; cholesterol metabolic process [GO:0008203]; cortisol metabolic process [GO:0034650]; glucocorticoid biosynthetic process [GO:0006704]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","mitochondrial inner membrane [GO:0005743]",NA,NA,NA,NA,NA,NA
"gene-LOC134710394|LOC134710394",196.133198459482,1.08577929425271,0.455936409973347,0.0005168796440322,0.0274954756983958,"LOC134710394","lcl|NC_086375.1_cds_XP_063426819.1_11946","sp","P36573","LEC1","CAEEL",35.115,262,156,7,877,1647,21,273,5.49e-35,136,"reviewed","LEC1_CAEEL","32 kDa beta-galactoside-binding lectin (32 kDa GBP)","lec-1 W09H1.6","Caenorhabditis elegans",279,"GO:0016936; GO:0030246; GO:0045121; GO:0060102",NA,"carbohydrate binding [GO:0030246]; galactoside binding [GO:0016936]","collagen and cuticulin-based cuticle extracellular matrix [GO:0060102]; membrane raft [GO:0045121]",NA,NA,NA,"R-CEL-6798695;",NA,NA
"gene-LOC134684285|LOC134684285",216.300530319223,1.06357683719262,0.469000624675658,0.000682107227139054,0.0330594636086728,"LOC134684285","lcl|NC_086381.1_cds_XP_063399641.1_33899","sp","O95238","SPDEF","HUMAN",36.559,279,116,5,370,1200,115,334,1.65e-53,184,"reviewed","SPDEF_HUMAN","SAM pointed domain-containing Ets transcription factor (Prostate epithelium-specific Ets transcription factor) (Prostate-specific Ets) (Prostate-derived Ets factor)","SPDEF PDEF PSE","Homo sapiens (Human)",335,"GO:0000122; GO:0000785; GO:0000981; GO:0002068; GO:0005634; GO:0006357; GO:0006366; GO:0010454; GO:0010455; GO:0043065; GO:0043565; GO:0045944; GO:0060480; GO:0060576; GO:0072148; GO:1990837","epithelial cell fate commitment [GO:0072148]; glandular epithelial cell development [GO:0002068]; intestinal epithelial cell development [GO:0060576]; lung goblet cell differentiation [GO:0060480]; negative regulation of cell fate commitment [GO:0010454]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell fate commitment [GO:0010455]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]","chromatin [GO:0000785]; nucleus [GO:0005634]",NA,NA,"O95238;",NA,NA,"Q8WUW1; Q86XR8-3; P20674; Q9H0I2; Q96MY7; P25786; Q7Z614-3; Q5W5X9-3"
"gene-LOC134721501|LOC134721501",30.9776087044333,0.935860852132263,0.342597536635639,0.000223608287820213,0.0153525909627649,"LOC134721501","lcl|NC_086378.1_cds_XP_063440634.1_25377","sp","Q99MN1","SYK","MOUSE",68.142,565,171,3,4,1671,13,577,0,777,"reviewed","SYK_MOUSE","Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)","Kars1 Kars","Mus musculus (Mouse)",595,"GO:0000049; GO:0002276; GO:0003877; GO:0004824; GO:0005524; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006430; GO:0010165; GO:0015966; GO:0016597; GO:0017101; GO:0043032; GO:0045893; GO:0070371; GO:0097110","basophil activation involved in immune response [GO:0002276]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; ERK1 and ERK2 cascade [GO:0070371]; lysyl-tRNA aminoacylation [GO:0006430]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of macrophage activation [GO:0043032]; response to X-ray [GO:0010165]","amino acid binding [GO:0016597]; ATP adenylyltransferase activity [GO:0003877]; ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; scaffold protein binding [GO:0097110]; tRNA binding [GO:0000049]","aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]",NA,NA,NA,"R-MMU-9856649;",NA,NA
"gene-LOC134685540|LOC134685540",47.8255063662861,0.90505434243869,0.212080812338249,8.93420865664967e-07,0.000265711487456631,"LOC134685540","lcl|NC_086381.1_cds_XP_063401378.1_35315","sp","Q0VC65","ETV6","BOVIN",51.579,95,46,0,808,1092,336,430,4.96e-29,124,"reviewed","ETV6_BOVIN","Transcription factor ETV6","ETV6","Bos taurus (Bovine)",452,"GO:0000981; GO:0005634; GO:0006357; GO:0043565; GO:0071425","hematopoietic stem cell proliferation [GO:0071425]; regulation of transcription by RNA polymerase II [GO:0006357]","DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]","nucleus [GO:0005634]",NA,NA,NA,NA,NA,NA
"gene-LOC134715770|LOC134715770",291.879440194054,0.903363274178311,0.331360500932541,0.000229749333095042,0.0153525909627649,"LOC134715770","lcl|NC_086376.1_cds_XP_063434271.1_19134","sp","A2AM29","AF9","MOUSE",67.143,140,45,1,1,417,1,140,1.66e-56,209,"reviewed","AF9_MOUSE","Protein AF-9 (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein homolog)","Mllt3 Af9","Mus musculus (Mouse)",569,"GO:0003677; GO:0003682; GO:0005634; GO:0005694; GO:0005829; GO:0007379; GO:0008023; GO:0009952; GO:0010467; GO:0042393; GO:0045893; GO:0060218; GO:0070577; GO:0090090; GO:0140030; GO:1902275; GO:2000035; GO:2000096","anterior/posterior pattern specification [GO:0009952]; gene expression [GO:0010467]; hematopoietic stem cell differentiation [GO:0060218]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of Wnt signaling pathway, planar cell polarity pathway [GO:2000096]; regulation of chromatin organization [GO:1902275]; regulation of stem cell division [GO:2000035]; segment specification [GO:0007379]","chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone binding [GO:0042393]; lysine-acetylated histone binding [GO:0070577]; modification-dependent protein binding [GO:0140030]","chromosome [GO:0005694]; cytosol [GO:0005829]; nucleus [GO:0005634]; transcription elongation factor complex [GO:0008023]",NA,NA,NA,"R-MMU-112382;R-MMU-674695;R-MMU-75955;",NA,NA
