"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","LOC_ID","transcript","database","uniprot_accession","geneID","species","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","reviewed","entryname","protein_name","gene_name","organism","prot_length","GO_ID","GO_BP","GO_MF","GO_CC","Genename_orderedlocus","Induction","Pathwaycommons","Reactome","Unipathway","Interacts_with"
"gene-LOC134697300|LOC134697300",40.1957299117591,5.04966846636529,0.714413070403,7.93384180407157e-14,2.04587333987659e-10,"LOC134697300","lcl|NC_086386.1_cds_XP_063415548.1_49449","tr","A0A193DU97","A0A193DU97","MYTCO",81.517,633,111,2,22,1902,3,635,0,1061,"unreviewed","A0A193DU97_MYTCO","Byssal HSP-like protein 1",NA,"Mytilus coruscus (Sea mussel)",658,"GO:0005524; GO:0005634; GO:0005788; GO:0016020; GO:0030968; GO:0034663; GO:0140662","endoplasmic reticulum unfolded protein response [GO:0030968]","ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]","endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; membrane [GO:0016020]; nucleus [GO:0005634]",NA,NA,NA,NA,NA,NA
"gene-LOC134683202|LOC134683202",25.0050556640935,3.82587210620081,1.12884271548635,2.91979176001256e-05,0.00332169250815546,"LOC134683202","lcl|NC_086381.1_cds_XP_063398425.1_36633","sp","P60043","PA2B1","NAJSG",38.583,127,58,3,76,456,19,125,2.43e-24,94.4,"reviewed","PA2B1_NAJSG","Basic phospholipase A2 1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)",NA,"Naja sagittifera (Andaman cobra)",126,"GO:0005509; GO:0005543; GO:0005576; GO:0006644; GO:0016042; GO:0047498; GO:0050482","arachidonic acid secretion [GO:0050482]; lipid catabolic process [GO:0016042]; phospholipid metabolic process [GO:0006644]","calcium ion binding [GO:0005509]; calcium-dependent phospholipase A2 activity [GO:0047498]; phospholipid binding [GO:0005543]","extracellular region [GO:0005576]",NA,NA,NA,NA,NA,NA
"gene-LOC134724165|LOC134724165",38.2336213179052,2.63627667611442,0.717768105998042,1.0382727002835e-05,0.00148742177951726,"LOC134724165","lcl|NC_086373.1_cds_XP_063443509.1_2038","sp","Q9BXW7","HDHD5","HUMAN",39.196,398,215,8,109,1281,45,422,2.59e-89,280,"reviewed","HDHD5_HUMAN","Haloacid dehalogenase-like hydrolase domain-containing 5 (Cat eye syndrome critical region protein 5)","HDHD5 CECR5","Homo sapiens (Human)",423,"GO:0005739; GO:0046474","glycerophospholipid biosynthetic process [GO:0046474]",NA,"mitochondrion [GO:0005739]",NA,NA,"Q9BXW7;",NA,NA,NA
"gene-LOC134725734|LOC134725734",20.5808694637161,1.83741449154298,0.484895083076967,7.15876951193215e-06,0.00108588707733935,"LOC134725734","lcl|NC_086379.1_cds_XP_063445851.1_30141","sp","Q5R8K0","DDT4L","PONAB",37.037,135,75,3,241,633,54,182,1.83e-21,90.9,"reviewed","DDT4L_PONAB","DNA damage-inducible transcript 4-like protein","DDIT4L","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",193,"GO:0005737; GO:0009968","negative regulation of signal transduction [GO:0009968]",NA,"cytoplasm [GO:0005737]",NA,NA,NA,NA,NA,NA
"gene-LOC134725059|LOC134725059",18.9625410462388,1.73671114820601,0.485432682864651,1.50466298573104e-05,0.00200690911338195,"LOC134725059","lcl|NC_086373.1_cds_XP_063444632.1_2264","sp","Q9VGZ5","CWO","DROME",38.624,189,72,7,130,639,11,174,8.56e-21,99.8,"reviewed","CWO_DROME","Transcription factor cwo (Protein clockwork orange)","cwo CG17100","Drosophila melanogaster (Fruit fly)",698,"GO:0000122; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0005654; GO:0006355; GO:0006357; GO:0007623; GO:0009952; GO:0032922; GO:0042752; GO:0046983; GO:0048813; GO:0050767","anterior/posterior pattern specification [GO:0009952]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; dendrite morphogenesis [GO:0048813]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]; regulation of neurogenesis [GO:0050767]; regulation of transcription by RNA polymerase II [GO:0006357]","DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]","nucleoplasm [GO:0005654]; nucleus [GO:0005634]",NA,NA,NA,"R-DME-432408;",NA,NA
"gene-LOC134692905|LOC134692905",78.6066871110027,1.49434475258982,0.369810746968087,2.62238599764113e-06,0.00052017379686543,"LOC134692905","lcl|NC_086384.1_cds_XP_063409606.1_43464","sp","Q9UBQ7","GRHPR","HUMAN",52.716,313,145,2,10,939,7,319,6.57e-104,310,"reviewed","GRHPR_HUMAN","Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81)","GRHPR GLXR MSTP035","Homo sapiens (Human)",328,"GO:0005737; GO:0005782; GO:0005829; GO:0008465; GO:0016618; GO:0019752; GO:0030267; GO:0031406; GO:0042803; GO:0043648; GO:0046487; GO:0051287; GO:0070062; GO:0070402; GO:1902494","carboxylic acid metabolic process [GO:0019752]; dicarboxylic acid metabolic process [GO:0043648]; glyoxylate metabolic process [GO:0046487]","carboxylic acid binding [GO:0031406]; glycerate dehydrogenase activity [GO:0008465]; glyoxylate reductase (NADPH) activity [GO:0030267]; hydroxypyruvate reductase activity [GO:0016618]; NAD binding [GO:0051287]; NADPH binding [GO:0070402]; protein homodimerization activity [GO:0042803]","catalytic complex [GO:1902494]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; peroxisomal matrix [GO:0005782]",NA,NA,"Q9UBQ7;","R-HSA-389661;",NA,"Q9UHI7"
"gene-LOC134707468|LOC134707468",13.4000264311121,1.36364914552111,0.472834955553002,0.000173409228799805,0.011086725570209,"LOC134707468","lcl|NC_086374.1_cds_XP_063423296.1_8526","sp","Q1HG43","DOXA1","HUMAN",30.466,279,187,7,31,855,8,283,9.35e-29,120,"reviewed","DOXA1_HUMAN","Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein)","DUOXA1 NIP NUMBIP","Homo sapiens (Human)",343,"GO:0005783; GO:0005789; GO:0005886; GO:0008104; GO:0010729; GO:0015031; GO:0016020; GO:0019899; GO:0031252; GO:0042743; GO:0045666; GO:0050727; GO:2000609","hydrogen peroxide metabolic process [GO:0042743]; positive regulation of hydrogen peroxide biosynthetic process [GO:0010729]; positive regulation of neuron differentiation [GO:0045666]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of inflammatory response [GO:0050727]; regulation of thyroid hormone generation [GO:2000609]","enzyme binding [GO:0019899]","cell leading edge [GO:0031252]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; plasma membrane [GO:0005886]",NA,NA,"Q1HG43;",NA,NA,"Q9NRD9"
"gene-LOC134712215|LOC134712215",33.0458032159113,1.34919778708015,0.346245458643357,4.8542955335364e-06,0.000801808549712626,"LOC134712215","lcl|NC_086375.1_cds_XP_063429613.1_14607","sp","P59722","EGLN1","RAT",59.817,219,86,1,610,1266,107,323,1.99e-96,296,"reviewed","EGLN1_RAT","Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2)","Egln1","Rattus norvegicus (Rat)",338,"GO:0001666; GO:0005634; GO:0005737; GO:0006879; GO:0008198; GO:0014069; GO:0016706; GO:0019899; GO:0031418; GO:0031543; GO:0031545; GO:0032364; GO:0043065; GO:0043525; GO:0045765; GO:0045944; GO:0051344; GO:0055008; GO:0060347; GO:0060412; GO:0060711; GO:0071456; GO:0071731; GO:0098978; GO:0099159; GO:0140252; GO:0160082; GO:1905290","cardiac muscle tissue morphogenesis [GO:0055008]; cellular response to hypoxia [GO:0071456]; heart trabecula formation [GO:0060347]; intracellular iron ion homeostasis [GO:0006879]; intracellular oxygen homeostasis [GO:0032364]; labyrinthine layer development [GO:0060711]; negative regulation of CAMKK-AMPK signaling cascade [GO:1905290]; negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]; positive regulation of apoptotic process [GO:0043065]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of angiogenesis [GO:0045765]; regulation of modification of postsynaptic structure [GO:0099159]; regulation protein catabolic process at postsynapse [GO:0140252]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; ventricular septum morphogenesis [GO:0060412]","2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; enzyme binding [GO:0019899]; ferrous iron binding [GO:0008198]; hypoxia-inducible factor-proline dioxygenase activity [GO:0160082]; L-ascorbic acid binding [GO:0031418]; peptidyl-proline 4-dioxygenase activity [GO:0031545]; peptidyl-proline dioxygenase activity [GO:0031543]","cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]",NA,"INDUCTION: Up-regulated by hypoxia especially in liver and testis. Levels up-regulated also in myocardial infarction predominantly in cardiomyocytes. {ECO:0000269|PubMed:12876291, ECO:0000269|PubMed:16765982}.",NA,"R-RNO-1234176;",NA,NA
"gene-LOC134712346|LOC134712346",61.8041204758444,1.27699250281508,0.334153846063492,6.82460857619451e-06,0.00105590343890881,"LOC134712346","lcl|NC_086375.1_cds_XP_063429871.1_14890","sp","Q5XK91","FBCDB","XENLA",43.13,262,128,5,2014,2754,197,452,3.76e-64,226,"reviewed","FBCDB_XENLA","Fibrinogen C domain-containing protein 1-B","fibcd1-b","Xenopus laevis (African clawed frog)",457,"GO:0005615; GO:0008061; GO:0016020; GO:0046872; GO:0062023",NA,"chitin binding [GO:0008061]; metal ion binding [GO:0046872]","collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; membrane [GO:0016020]",NA,NA,NA,NA,NA,NA
"gene-LOC134720746|LOC134720746",245.959546421647,1.26058126859936,0.241499338402896,1.02072561547442e-08,5.64023811522152e-06,"LOC134720746","lcl|NC_086378.1_cds_XP_063439295.1_23457","sp","Q9N1R6","BAT1","RABIT",50.522,479,227,3,169,1596,16,487,1.95e-158,463,"reviewed","BAT1_RABIT","b(0,+)-type amino acid transporter 1 (b(0,+)AT) (4F2-LC6) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)","SLC7A9 BAT1","Oryctolagus cuniculus (Rabbit)",487,"GO:0005886; GO:0015175; GO:0015184; GO:0015804; GO:0015811; GO:0016020; GO:0016324; GO:0031526; GO:0042605; GO:0180009","L-cystine transport [GO:0015811]; neutral amino acid transport [GO:0015804]","broad specificity neutral L-amino acid:basic L-amino acid antiporter activity [GO:0180009]; L-cystine transmembrane transporter activity [GO:0015184]; neutral L-amino acid transmembrane transporter activity [GO:0015175]; peptide antigen binding [GO:0042605]","apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; membrane [GO:0016020]; plasma membrane [GO:0005886]",NA,NA,NA,NA,NA,NA
