"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","LOC_ID","transcript","database","uniprot_accession","geneID","species","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","reviewed","entryname","protein_name","gene_name","organism","prot_length","GO_ID","GO_BP","GO_MF","GO_CC","Genename_orderedlocus","Induction","Pathwaycommons","Reactome","Unipathway","Interacts_with"
"gene-LOC134707468|LOC134707468",30.177467606902,4.9533891655456,1.0693157081831,1.34909888284198e-07,4.51992980195693e-05,"LOC134707468","lcl|NC_086374.1_cds_XP_063423296.1_8526","sp","Q1HG43","DOXA1","HUMAN",30.466,279,187,7,31,855,8,283,9.35e-29,120,"reviewed","DOXA1_HUMAN","Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein)","DUOXA1 NIP NUMBIP","Homo sapiens (Human)",343,"GO:0005783; GO:0005789; GO:0005886; GO:0008104; GO:0010729; GO:0015031; GO:0016020; GO:0019899; GO:0031252; GO:0042743; GO:0045666; GO:0050727; GO:2000609","hydrogen peroxide metabolic process [GO:0042743]; positive regulation of hydrogen peroxide biosynthetic process [GO:0010729]; positive regulation of neuron differentiation [GO:0045666]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of inflammatory response [GO:0050727]; regulation of thyroid hormone generation [GO:2000609]","enzyme binding [GO:0019899]","cell leading edge [GO:0031252]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; plasma membrane [GO:0005886]",NA,NA,"Q1HG43;",NA,NA,"Q9NRD9"
"gene-LOC134707467|LOC134707467",49.2454237931421,2.40488022989708,0.846544088237719,0.000140988435530234,0.00843405447171905,"LOC134707467","lcl|NC_086374.1_cds_XP_063423294.1_8523","sp","Q8CIY2","DUOX1","RAT",41.748,1545,845,21,70,4605,29,1551,0,1154,"reviewed","DUOX1_RAT","Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1)","Duox1","Rattus norvegicus (Rat)",1551,"GO:0004601; GO:0005509; GO:0005783; GO:0005886; GO:0006590; GO:0006952; GO:0006979; GO:0009986; GO:0016175; GO:0016324; GO:0019221; GO:0020037; GO:0031252; GO:0042335; GO:0042446; GO:0042554; GO:0042744; GO:0043020; GO:0050665; GO:0051591; GO:0072593; GO:0090303; GO:0106293; GO:0106294; GO:2000147","cuticle development [GO:0042335]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; hormone biosynthetic process [GO:0042446]; hydrogen peroxide biosynthetic process [GO:0050665]; hydrogen peroxide catabolic process [GO:0042744]; positive regulation of cell motility [GO:2000147]; positive regulation of wound healing [GO:0090303]; reactive oxygen species metabolic process [GO:0072593]; response to cAMP [GO:0051591]; response to oxidative stress [GO:0006979]; superoxide anion generation [GO:0042554]; thyroid hormone generation [GO:0006590]","calcium ion binding [GO:0005509]; heme binding [GO:0020037]; NADH oxidase H202-forming activity [GO:0106293]; NADPH oxidase H202-forming activity [GO:0106294]; peroxidase activity [GO:0004601]; superoxide-generating NAD(P)H oxidase activity [GO:0016175]","apical plasma membrane [GO:0016324]; cell leading edge [GO:0031252]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; NADPH oxidase complex [GO:0043020]; plasma membrane [GO:0005886]",NA,NA,NA,"R-RNO-209968;","UPA00194;",NA
"gene-LOC134720932|LOC134720932",213.492412490868,2.18587292312857,0.955355993404512,0.000577037808622408,0.0226741915388099,"LOC134720932","lcl|NC_086378.1_cds_XP_063439582.1_23872","tr","A0A193DUA2","A0A193DUA2","MYTCO",35.518,656,376,22,292,2181,105,739,8.49e-107,347,"unreviewed","A0A193DUA2_MYTCO","Byssal peroxidase-like protein 2",NA,"Mytilus coruscus (Sea mussel)",742,"GO:0004601; GO:0006979; GO:0020037; GO:0046872","response to oxidative stress [GO:0006979]","heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]",NA,NA,NA,NA,NA,NA,NA
"gene-LOC134725929|LOC134725929",110.867687797984,2.13445331774593,0.345865934637791,3.19038292199218e-11,8.52470316756311e-08,"LOC134725929","lcl|NC_086379.1_cds_XP_063446294.1_30613","sp","Q9VAF5","CAD99","DROME",30.744,309,169,13,253,1128,93,373,9.15e-29,124,"reviewed","CAD99_DROME","Cadherin-99C","Cad99C CG31009","Drosophila melanogaster (Fruit fly)",1706,"GO:0002385; GO:0005509; GO:0005886; GO:0005902; GO:0007156; GO:0007304; GO:0007305; GO:0007605; GO:0010008; GO:0016324; GO:0016339; GO:0017022; GO:0019722; GO:0031528; GO:0032529; GO:0032533; GO:0035239; GO:0044331; GO:0045176; GO:0098609; GO:2000370","apical protein localization [GO:0045176]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; calcium-mediated signaling [GO:0019722]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; chorion-containing eggshell formation [GO:0007304]; follicle cell microvillus organization [GO:0032529]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; mucosal immune response [GO:0002385]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of follicle cell microvillus length [GO:0032533]; sensory perception of sound [GO:0007605]; tube morphogenesis [GO:0035239]; vitelline membrane formation involved in chorion-containing eggshell formation [GO:0007305]","calcium ion binding [GO:0005509]; myosin binding [GO:0017022]","apical plasma membrane [GO:0016324]; endosome membrane [GO:0010008]; microvillus [GO:0005902]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886]",NA,"INDUCTION: Up-regulated in the adult anterior midgut after the ingestion of bacterial uracil. Strong up-regulation detected 1 hour, 2 hours and 16 hours after ingestion, whereas no up-regulation was detected at 4 hours. {ECO:0000269|PubMed:25639794}.",NA,NA,NA,"Q9V3Z6"
"gene-LOC134715973|LOC134715973",20.6388709123453,1.94485970077307,0.536874317461867,1.23516060708123e-05,0.00167814363158697,"LOC134715973","lcl|NC_086376.1_cds_XP_063434658.1_19597","sp","Q9WVR6","LAT2","RAT",36.952,479,297,3,172,1596,17,494,2.82e-98,310,"reviewed","LAT2_RAT","Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (Solute carrier family 7 member 8)","Slc7a8 Lat2 Lat4","Rattus norvegicus (Rat)",533,"GO:0003333; GO:0005886; GO:0006865; GO:0009925; GO:0015101; GO:0015171; GO:0015175; GO:0015179; GO:0015180; GO:0015187; GO:0015190; GO:0015297; GO:0015349; GO:0015804; GO:0015807; GO:0015816; GO:0015820; GO:0015827; GO:0015829; GO:0016323; GO:0016324; GO:0019534; GO:0031528; GO:0035524; GO:0042605; GO:0046982; GO:0070327; GO:0089718; GO:1903801; GO:1904273","amino acid import across plasma membrane [GO:0089718]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; glycine transport [GO:0015816]; L-alanine import across plasma membrane [GO:1904273]; L-amino acid transport [GO:0015807]; L-leucine import across plasma membrane [GO:1903801]; L-leucine transport [GO:0015820]; neutral amino acid transport [GO:0015804]; proline transmembrane transport [GO:0035524]; thyroid hormone transport [GO:0070327]; tryptophan transport [GO:0015827]; valine transport [GO:0015829]","amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; glycine transmembrane transporter activity [GO:0015187]; L-alanine transmembrane transporter activity [GO:0015180]; L-amino acid transmembrane transporter activity [GO:0015179]; L-leucine transmembrane transporter activity [GO:0015190]; neutral L-amino acid transmembrane transporter activity [GO:0015175]; organic cation transmembrane transporter activity [GO:0015101]; peptide antigen binding [GO:0042605]; protein heterodimerization activity [GO:0046982]; thyroid hormone transmembrane transporter activity [GO:0015349]; toxin transmembrane transporter activity [GO:0019534]","apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886]",NA,NA,NA,"R-RNO-210991;R-RNO-352230;",NA,NA
"gene-LOC134687277|LOC134687277",22.84621161711,1.74050790240107,0.750648513427465,0.000570300833497351,0.0225198595138659,"LOC134687277","lcl|NC_086382.1_cds_XP_063403499.1_38680","sp","P42674","BP10","PARLI",38.554,249,140,6,265,984,64,308,8.9e-42,162,"reviewed","BP10_PARLI","Blastula protease 10 (EC 3.4.24.-)","BP10","Paracentrotus lividus (Common sea urchin)",597,"GO:0004222; GO:0005576; GO:0005938; GO:0006508; GO:0008270; GO:0048471","proteolysis [GO:0006508]","metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]","cell cortex [GO:0005938]; extracellular region [GO:0005576]; perinuclear region of cytoplasm [GO:0048471]",NA,NA,NA,NA,NA,NA
"gene-LOC134704886|LOC134704886",391.467166629939,1.64945801433021,0.319620831309124,1.11638042261761e-08,8.13536860700249e-06,"LOC134704886","lcl|NC_086373.1_cds_XP_063419741.1_4675","sp","P22105","TENX","HUMAN",31.346,654,303,30,43432,45297,222,761,3.11e-41,176,"reviewed","TENX_HUMAN","Tenascin-X (TN-X) (Hexabrachion-like protein)","TNXB HXBL TNX TNXB1 TNXB2 XB","Homo sapiens (Human)",4244,"GO:0005178; GO:0005201; GO:0005518; GO:0005576; GO:0005615; GO:0006631; GO:0006641; GO:0007155; GO:0007160; GO:0008201; GO:0008284; GO:0010718; GO:0030036; GO:0030155; GO:0030199; GO:0030334; GO:0031012; GO:0031175; GO:0032963; GO:0043231; GO:0045595; GO:0048251; GO:0062023; GO:0070062; GO:0090733; GO:0098609; GO:0098633; GO:1900748; GO:1904028; GO:1905935","actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; elastic fiber assembly [GO:0048251]; fatty acid metabolic process [GO:0006631]; neuron projection development [GO:0031175]; positive regulation of cell fate determination [GO:1905935]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of collagen fibril organization [GO:1904028]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of vascular endothelial growth factor signaling pathway [GO:1900748]; regulation of cell adhesion [GO:0030155]; regulation of cell differentiation [GO:0045595]; regulation of cell migration [GO:0030334]; triglyceride metabolic process [GO:0006641]","collagen binding [GO:0005518]; collagen fibril binding [GO:0098633]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; integrin binding [GO:0005178]","collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; tenascin complex [GO:0090733]",NA,NA,"P22105;","R-HSA-3000178;",NA,"Q8N9N5; P01137; Q8N9N5-2; P40199; P42858; P78424; Q96PF1"
"gene-LOC134708520|LOC134708520",169.343292121257,1.4245575896151,0.367057832415888,4.44363092439861e-06,0.000774350988912593,"LOC134708520","lcl|NC_086374.1_cds_XP_063425209.1_10900","sp","Q61P40","TBH1","CAEBR",31.871,342,214,8,481,1467,199,534,5.71e-40,157,"reviewed","TBH1_CAEBR","Tyramine beta-hydroxylase (EC 1.14.17.-) (Tyramine beta-monooxygenase) (TbetaM)","tbh-1 CBG07714","Caenorhabditis briggsae",585,"GO:0004500; GO:0004836; GO:0005507; GO:0005615; GO:0006589; GO:0008021; GO:0030667; GO:0042420; GO:0042421","dopamine catabolic process [GO:0042420]; norepinephrine biosynthetic process [GO:0042421]; octopamine biosynthetic process [GO:0006589]","copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]; tyramine-beta hydroxylase activity [GO:0004836]","extracellular space [GO:0005615]; secretory granule membrane [GO:0030667]; synaptic vesicle [GO:0008021]",NA,NA,NA,NA,NA,NA
"gene-LOC134707932|LOC134707932",15.2711218781394,1.38262811236556,0.416765504082929,3.5361174883264e-05,0.00339207128849738,"LOC134707932","lcl|NC_086374.1_cds_XP_063424176.1_9618","sp","Q3MHG7","URIC","BOVIN",48.333,300,151,1,7,906,9,304,1.73e-102,305,"reviewed","URIC_BOVIN","Uricase (EC 1.7.3.3) (Urate oxidase)","UOX","Bos taurus (Bovine)",304,"GO:0004846; GO:0005777; GO:0006145; GO:0019628","purine nucleobase catabolic process [GO:0006145]; urate catabolic process [GO:0019628]","urate oxidase activity [GO:0004846]","peroxisome [GO:0005777]",NA,NA,NA,NA,"UPA00394;",NA
"gene-LOC134715513|LOC134715513",46.143997751227,1.34715349909835,0.472060188071131,0.000151538716491444,0.00886667409777677,"LOC134715513","lcl|NC_086373.1_cds_XP_063433809.1_650","sp","Q8NBI5","S43A3","HUMAN",25.692,506,312,11,49,1482,18,487,4.8e-41,157,"reviewed","S43A3_HUMAN","Equilibrative nucleobase transporter 1 (Protein FOAP-13) (Solute carrier family 43 member 3)","SLC43A3 ENBT1 PSEC0252","Homo sapiens (Human)",491,"GO:0015207; GO:0015208; GO:0015245; GO:0016323; GO:0035344; GO:0042910","hypoxanthine transport [GO:0035344]","adenine transmembrane transporter activity [GO:0015207]; fatty acid transmembrane transporter activity [GO:0015245]; guanine transmembrane transporter activity [GO:0015208]; xenobiotic transmembrane transporter activity [GO:0042910]","basolateral plasma membrane [GO:0016323]",NA,NA,"Q8NBI5;",NA,NA,"P55072"
