Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
Q78P75	reviewed	DYL2_RAT	Dynein light chain 2, cytoplasmic (Dynein light chain LC8-type 2)	Dynll2 Dlc2	Rattus norvegicus (Rat)	89	microtubule-based process [GO:0007017]	9+0 non-motile cilium [GO:0097731]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoskeleton [GO:0005856]; glutamatergic synapse [GO:0098978]; microtubule [GO:0005874]; myosin V complex [GO:0031475]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]	9+0 non-motile cilium [GO:0097731]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoskeleton [GO:0005856]; glutamatergic synapse [GO:0098978]; microtubule [GO:0005874]; myosin V complex [GO:0031475]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; dynein intermediate chain binding [GO:0045505]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]; microtubule-based process [GO:0007017]	dynein intermediate chain binding [GO:0045505]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]	GO:0005737; GO:0005813; GO:0005856; GO:0005868; GO:0005874; GO:0007017; GO:0014069; GO:0031475; GO:0042802; GO:0044877; GO:0045505; GO:0097110; GO:0097731; GO:0098794; GO:0098978
P18101	reviewed	RL40_DROME	Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40)]	RpL40 Ubi-f UBI-F52 CG2960	Drosophila melanogaster (Fruit fly)	128	cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein modification process [GO:0036211]; protein ubiquitination [GO:0016567]; translation [GO:0006412]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]; cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein modification process [GO:0036211]; protein ubiquitination [GO:0016567]; translation [GO:0006412]; ubiquitin-dependent protein catabolic process [GO:0006511]	protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]	GO:0002181; GO:0003735; GO:0005634; GO:0005829; GO:0006412; GO:0006511; GO:0016567; GO:0019941; GO:0022625; GO:0022627; GO:0031386; GO:0031625; GO:0036211
Q9U8W7	reviewed	TL5B_TACTR	Techylectin-5B		Tachypleus tridentatus (Japanese horseshoe crab)	316	cell-cell adhesion [GO:0098609]	extracellular region [GO:0005576]	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; cell-cell adhesion [GO:0098609]	carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	GO:0005576; GO:0030246; GO:0046872; GO:0098609
Q9U8W8	reviewed	TL5A_TACTR	Techylectin-5A		Tachypleus tridentatus (Japanese horseshoe crab)	292	cell-cell adhesion [GO:0098609]	extracellular region [GO:0005576]	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; cell-cell adhesion [GO:0098609]	carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	GO:0005576; GO:0030246; GO:0046872; GO:0098609
P79781	reviewed	RS27A_CHICK	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	RPS27A UBA80	Gallus gallus (Chicken)	156	modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]	cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; metal ion binding [GO:0046872]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	metal ion binding [GO:0046872]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735]; ubiquitin protein ligase binding [GO:0031625]	GO:0003735; GO:0005654; GO:0005730; GO:0006412; GO:0016567; GO:0019941; GO:0022627; GO:0031386; GO:0031625; GO:0032040; GO:0042274; GO:0046872
P41774	reviewed	COX1_MYTED	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	COI	Mytilus edulis (Blue mussel)	551	oxidative phosphorylation [GO:0006119]	mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]	mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidative phosphorylation [GO:0006119]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0045277; GO:0046872
P62752	reviewed	RL23A_RAT	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)	Rpl23a	Rattus norvegicus (Rat)	156	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; nucleus [GO:0005634]; synapse [GO:0045202]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; nucleus [GO:0005634]; synapse [GO:0045202]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; TORC2 complex binding [GO:1904841]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; TORC2 complex binding [GO:1904841]	GO:0000027; GO:0003735; GO:0005634; GO:0006412; GO:0022625; GO:0022626; GO:0045202; GO:0070180; GO:1904841
Q63347	reviewed	PRS7_RAT	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	Psmc2 Mss1	Rattus norvegicus (Rat)	433	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	dendritic spine [GO:0043197]; nucleus [GO:0005634]; P-body [GO:0000932]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]	dendritic spine [GO:0043197]; nucleus [GO:0005634]; P-body [GO:0000932]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; general transcription initiation factor binding [GO:0140296]; proteasome-activating activity [GO:0036402]; TBP-class protein binding [GO:0017025]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; general transcription initiation factor binding [GO:0140296]; proteasome-activating activity [GO:0036402]; TBP-class protein binding [GO:0017025]	GO:0000502; GO:0000932; GO:0005524; GO:0005634; GO:0006511; GO:0008540; GO:0016887; GO:0017025; GO:0022624; GO:0036402; GO:0043161; GO:0043197; GO:0140296
P39023	reviewed	RL3_HUMAN	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (HIV-1 TAR RNA-binding protein B) (TARBP-B)	RPL3 OK/SW-cl.32	Homo sapiens (Human)	403	cellular response to interleukin-4 [GO:0071353]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; synapse [GO:0045202]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; synapse [GO:0045202]; 5S rRNA binding [GO:0008097]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cellular response to interleukin-4 [GO:0071353]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]	5S rRNA binding [GO:0008097]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0005925; GO:0006412; GO:0008097; GO:0022625; GO:0022626; GO:0032991; GO:0045202; GO:0070062; GO:0071353
Q99615	reviewed	DNJC7_HUMAN	DnaJ homolog subfamily C member 7 (Tetratricopeptide repeat protein 2) (TPR repeat protein 2)	DNAJC7 TPR2 TTC2	Homo sapiens (Human)	494	chaperone cofactor-dependent protein refolding [GO:0051085]; protein folding [GO:0006457]; regulation of cellular response to heat [GO:1900034]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; ATPase activator activity [GO:0001671]; heat shock protein binding [GO:0031072]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein folding [GO:0006457]; regulation of cellular response to heat [GO:1900034]	ATPase activator activity [GO:0001671]; heat shock protein binding [GO:0031072]	GO:0001671; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0006457; GO:0016020; GO:0031072; GO:0051085; GO:0070062; GO:1900034
